name1,type1,name2,type2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
VC0112,CDS_UTRS,Spot42,sRNA,1167,33,2,0.7597657474083116,1.0,0.9775354616723988,1.896492841457526e-11,2.510962929160175e-9,34,0.308,45,0.2548
TfoR,sRNA,Spot42,sRNA,1124,306,2,1.0,1.0,0.012755514452892268,0.9822802013101971,0.988789628959026,29,0.3187,38,0.3764
Spot42,sRNA,MicX,sRNA,1118,108,2,1.0,1.0,0.00286832574246695,0.6513911344467431,0.8193532134295576,38,0.6095,39,0.4048
Qrr2,sRNA,Spot42,sRNA,1104,44,2,1.0,1.0,0.0959963715816865,0.909674549325875,0.9535083161418002,41,0.3667,35,0.29
aspA,CDS_UTRS,Spot42,sRNA,1084,107,2,1.0,1.0,0.20910412823850963,2.6788113733642335e-17,6.773158524376193e-15,38,0.53,37,0.3033
VCA0570,CDS_UTRS,Spot42,sRNA,1076,45,2,3.9973616686261803e-153,2.028110283824917e-150,3.105618935124559,7.20725575297794e-96,4.03508509410117e-92,31,0.346,47,0.3048
VqmR,sRNA,Spot42,sRNA,1029,83,2,1.0,1.0,0.01813791786007308,0.19811257291719883,0.43505113572169474,33,0.4007,41,0.2715
VC0972,CDS_UTRS,Spot42,sRNA,1023,66,2,1.0,1.0,0.017869386788947374,5.759674608389775e-14,1.0260205806368158e-11,40,0.4611,37,0.4778
Spot42,sRNA,VadR,sRNA,1016,102,2,1.0,1.0,0.01255630040585834,0.11127209641050152,0.30910556674299583,37,0.5701,34,0.2212
glpK,CDS_UTRS,Spot42,sRNA,1014,138,2,2.718442188260974e-124,1.1686028101747777e-121,2.7967361662034502,1.1673860570943687e-31,8.169722012599438e-29,35,0.9565,35,0.2337
Spot42,sRNA,Qrr1,sRNA,914,6,2,1.0,1.0,0.058865775612311044,0.0003888153604968317,0.00857223499719577,30,0.6879,39,0.1975
VC2341,CDS_UTRS,Spot42,sRNA,910,56,2,2.5845904380675226e-237,1.8232136905141956e-234,5.646343950645759,5.315804420084903e-20,1.6666322650026992e-17,36,0.3704,34,0.3056
Spot42,sRNA,MicV,sRNA,905,24,2,1.0,1.0,0.0060323561999730555,0.48208549460269956,0.6994534585191141,39,0.5795,34,0.1193
infC,CDS_UTRS,Spot42,sRNA,889,70,2,1.0,1.0,0.14037576151329706,2.604332707330371e-12,3.801307298570983e-10,38,0.4949,37,0.3081
VCA0181,CDS_UTRS,Spot42,sRNA,878,69,2,1.0,1.0,0.2377061437754672,6.15388210562878e-49,1.0485813767854118e-45,34,0.2613,52,0.2334
rplL,CDS_UTRS,Spot42,sRNA,867,60,2,1.0,1.0,0.09822895764465756,1.806770910572366e-33,1.4304698054704307e-30,38,0.4955,37,0.1773
VCA0220,CDS_UTRS,Spot42,sRNA,847,12,2,3.7322972408432656e-76,1.0597696922040584e-73,2.327427587344596,6.298330179208371e-20,1.9435803849469738e-17,39,0.4751,42,0.2452
VC0490,CDS_UTRS,Spot42,sRNA,839,88,2,1.0,1.0,0.22884292440668574,3.527723104760486e-12,5.092200086081614e-10,42,0.3701,37,0.2717
VC0620,CDS_UTRS,Spot42,sRNA,834,56,2,1.0,1.0,0.5920875999784037,2.1840049547024903e-33,1.6948959639062958e-30,38,0.8313,38,0.2562
Vcr202,sRNA,Spot42,sRNA,793,7,2,1.0,1.0,0.007749595537771483,0.0019870540555197284,0.026162822765948567,40,0.4475,34,0.3307
VC0478,CDS_UTRS,Spot42,sRNA,777,39,2,1.0,1.0,0.6645308777383057,8.880237232673673e-32,6.270647518326082e-29,38,0.7075,38,0.2862
gltA,CDS_UTRS,Spot42,sRNA,775,24,2,0.9904027428287827,1.0,0.9117876023597065,9.853521310388127e-21,3.3147161108563597e-18,39,0.5149,36,0.2836
smpB,CDS_UTRS,Spot42,sRNA,769,71,2,2.8641426106101525e-13,1.826736429130503e-11,1.3666726795888797,6.713994169680373e-8,5.189838037610625e-6,40,0.6605,37,0.2214
VC0684,CDS_UTRS,Spot42,sRNA,760,33,2,1.1167851806687258e-220,7.515784553342717e-218,6.560233389214203,2.8262823497640146e-47,4.4305367371370644e-44,35,0.5278,43,0.2389
Spot42,sRNA,Vcr229,sRNA,748,93,2,1.0,1.0,0.00815550630098528,7.507325685128282e-7,4.611533656160187e-5,31,0.5423,77,0.6197
Spot42,sRNA,TfoR,sRNA,740,68,2,1.0,1.0,0.0066353313409728346,0.9998958815818787,1.0,30,0.5649,51,0.1107
lamB,CDS_UTRS,Spot42,sRNA,735,21,2,0.001060785786173058,0.012663849495579086,1.1408955890365151,3.8730493389911677e-62,1.124346223109136e-58,34,0.4559,48,0.3125
VC1835,CDS_UTRS,Spot42,sRNA,733,485,2,5.0389380897742554e-11,2.707670792777595e-9,1.3305912379187608,3.168844733595476e-14,5.885716091562725e-12,26,0.3132,37,0.3242
VadR,sRNA,Spot42,sRNA,696,78,2,1.0,1.0,0.010674293545614449,0.0019923282148249476,0.026223455550998188,31,0.375,44,0.4079
VC0964,CDS_UTRS,Spot42,sRNA,690,7,2,0.6685113355324117,1.0,0.9822778607840554,7.805246671506342e-47,1.176505844921805e-43,31,0.4752,45,0.2673
era,CDS_UTRS,Spot42,sRNA,688,55,2,3.745146230235486e-33,5.36916781884906e-31,1.7790033549504942,9.501027805347675e-9,8.405192555428399e-7,40,0.6821,39,0.2513
GcvB,sRNA,Spot42,sRNA,678,107,2,1.0,1.0,0.013944076322787803,0.9942450648125182,0.9962533068927295,36,0.4333,38,0.3467
Spot42,sRNA,VqmR,sRNA,666,51,2,1.0,1.0,0.010232849725825381,2.7173172055045258e-11,3.5262589384875867e-9,33,0.6187,44,0.1511
Qrr4,sRNA,Spot42,sRNA,640,15,2,1.0,1.0,0.08691400647598342,0.12569139892058503,0.32982315161681874,39,0.5532,36,0.3262
VC2738,CDS_UTRS,Spot42,sRNA,638,26,2,0.9999986641143175,1.0,0.8185257234045216,7.473211646541529e-19,2.1300283711548057e-16,35,0.3761,42,0.2478
VC2656,CDS_UTRS,Spot42,sRNA,629,69,2,1.0,1.0,0.09132718788792438,1.147967513075887e-13,1.9433875084751858e-11,42,0.5029,37,0.1829
VC2720,CDS_UTRS,Spot42,sRNA,616,71,2,2.4712264076681633e-7,8.665068731489275e-6,1.2717413882928454,5.549382621809981e-61,1.5534505688574574e-57,28,0.3548,36,0.2065
VC1837,CDS_UTRS,Spot42,sRNA,613,34,2,1.0,1.0,0.42488843412992566,0.0011938306632480566,0.01872221713006121,41,0.5,36,0.2991
VC2764,CDS_UTRS,Spot42,sRNA,607,27,2,1.0,1.0,0.22672224917063108,9.921177452979964e-43,1.1963566306800347e-39,25,0.5376,40,0.3179
VC0419,CDS_UTRS,Spot42,sRNA,594,24,2,1.0,1.0,0.45873076149673386,1.6856508468550406e-12,2.499340607344944e-10,40,0.4667,36,0.3259
Vcr017,sRNA,Spot42,sRNA,589,61,2,1.0,1.0,0.03112571428352347,4.885483248037831e-25,2.1757333094571206e-22,33,0.4327,45,0.2398
Spot42,sRNA,ompU,CDS_UTRS,552,78,2,1.0,1.0,0.04360506510855425,0.0770717363376362,0.2387948948429164,40,0.6168,33,0.1198
VC2681,CDS_UTRS,Spot42,sRNA,552,28,2,1.0,1.0,0.5419656052414592,1.253090144072875e-13,2.103178984637602e-11,41,0.4619,35,0.2132
VC2412,CDS_UTRS,Spot42,sRNA,549,28,2,1.0,1.0,0.343235741173888,1.0669408990618322e-52,2.14430498998373e-49,32,0.446,49,0.2662
VCA0843,CDS_UTRS,Spot42,sRNA,545,28,2,2.407461086762578e-24,2.622923030247753e-22,1.725032347393478,1.1042056592664333e-26,5.69399630124752e-24,38,0.3241,38,0.3034
Vcr228,sRNA,Spot42,sRNA,539,33,2,1.0,1.0,0.5397214660516687,1.0228968757052123e-12,1.55680932067282e-10,35,0.363,49,0.1704
Spot42,sRNA,FarS,sRNA,537,43,2,1.0,1.0,0.0013344865822251062,0.15819784449462082,0.3824354701703382,34,0.7333,43,0.1667
VCA0160,CDS_UTRS,Spot42,sRNA,530,20,2,1.2372122791260577e-190,7.577226365891112e-188,9.501325088768155,4.735302189059298e-72,1.7674177184793183e-68,32,0.3973,43,0.2466
VCA0498,CDS_UTRS,Spot42,sRNA,509,51,2,4.863745260261431e-38,7.827661888130913e-36,2.1064105710610637,1.9818897722735537e-46,2.824409131646789e-43,31,0.8067,52,0.36
Vcr227,sRNA,Spot42,sRNA,504,27,2,1.0,1.0,0.005948978333195567,0.7483851045871645,0.870378705877981,37,0.4371,37,0.2318
VC1043,CDS_UTRS,Spot42,sRNA,498,24,2,1.0,1.0,0.07158572118187068,8.931779535926075e-5,0.0028400884860260516,35,0.5614,38,0.3596
tnaA,CDS_UTRS,Spot42,sRNA,491,26,2,1.5055413259675801e-123,6.434222074370177e-121,5.337663102860619,0.0979941080824086,0.2794652393280668,42,0.6457,35,0.2283
gltB,CDS_UTRS,Spot42,sRNA,488,18,2,1.0,1.0,0.4451163914633587,5.889878973178509e-5,0.001995912683945978,36,0.3582,39,0.2164
Spot42,sRNA,GcvB,sRNA,485,20,2,1.0,1.0,0.008837317794191854,0.6935171743558828,0.8414659327072598,36,0.5372,40,0.0496
Spot42,sRNA,Qrr2,sRNA,484,3,2,1.0,1.0,0.050446795106229375,0.20354570421072976,0.43505113572169474,34,0.7169,35,0.1446
sdhB,CDS_UTRS,Spot42,sRNA,482,15,2,2.2614894199523829e-13,1.4512198700399392e-11,1.4976302864130169,3.76385403064813e-6,0.00019219194969135575,42,0.2775,35,0.2863
pdhR,CDS_UTRS,Spot42,sRNA,481,16,2,1.0,1.0,0.17230922109785674,0.002257335039023726,0.027773180286962577,38,0.5528,37,0.3354
VC1149,CDS_UTRS,Spot42,sRNA,477,46,2,0.0070608114844725265,0.04866393746400382,1.1400449567058701,4.777351941309668e-14,8.614859806546896e-12,40,0.4014,39,0.3239
VC1189:VC1198,IGR,Spot42,sRNA,472,59,2,1.0,1.0,0.4158643175836162,4.353836437820363e-17,1.09377581356666e-14,32,0.3383,37,0.218
VC0637,CDS_UTRS,Spot42,sRNA,469,53,2,1.0,1.0,0.22386435379695413,9.030992711371468e-11,1.0957557890247786e-8,37,0.4697,40,0.2803
VrrA,sRNA,Spot42,sRNA,468,37,2,1.0,1.0,0.017682565471911677,0.22755043016996854,0.47129347498024265,35,0.2991,40,0.3178
nhaB,CDS_UTRS,Spot42,sRNA,465,28,2,0.0053676061744231595,0.040367774041772365,1.1481651220295954,4.695495384500282e-18,1.256101104889135e-15,37,0.3981,37,0.287
VCA0933,CDS_UTRS,Spot42,sRNA,465,43,2,1.0,1.0,0.10557477085025468,2.382864178923328e-16,5.6597356729754356e-14,36,0.4551,41,0.2692
Spot42,sRNA,VC0706,CDS_UTRS,464,52,2,1.0,1.0,0.02343332932927358,0.017559962607737484,0.09698875548989301,41,0.6042,48,0.1667
VC0641,CDS_UTRS,Spot42,sRNA,455,36,2,1.0,1.0,0.10068680401136997,0.001212717549779234,0.01898236958441176,38,0.3841,41,0.3293
Spot42,sRNA,VC1034,CDS_UTRS,452,49,2,1.0,1.0,0.08619754515297502,0.0025134275002165088,0.03022475619737192,42,0.6933,113,0.14
Thr leader,CDS_UTRS,Spot42,sRNA,444,19,2,1.7024265218345385e-30,2.263314983714884e-28,2.021364346792269,7.043622339970041e-39,6.901077032864898e-36,33,0.303,35,0.202
VC2361,CDS_UTRS,Spot42,sRNA,437,25,2,1.0,1.0,0.4127350080637084,2.2241130347713272e-26,1.1320013232364377e-23,33,0.2542,40,0.4068
VC0078,CDS_UTRS,Spot42,sRNA,434,50,2,1.0,1.0,0.02365467865651223,9.30158452640274e-19,2.6415489013187434e-16,36,0.5164,40,0.3689
Vcr034,sRNA,Spot42,sRNA,427,17,2,1.0,1.0,0.38597590842920637,6.180076355364654e-8,4.805561158827748e-6,40,0.5567,37,0.2577
VC1189,CDS_UTRS,Spot42,sRNA,416,69,2,1.0,1.0,0.3592992670370765,4.961485740907302e-7,3.177174949820712e-5,38,0.3056,36,0.2917
VC1367,CDS_UTRS,Spot42,sRNA,416,20,2,0.8830566519133654,1.0,0.9382956024241151,2.9851029314398616e-22,1.1088879282899896e-19,29,0.2,39,0.3067
Qrr3,sRNA,Spot42,sRNA,408,13,2,1.0,1.0,0.04459291386332205,0.0025851254462108298,0.0309840694677792,35,0.2985,36,0.3433
VC0900,CDS_UTRS,Spot42,sRNA,408,40,2,0.9999999999999989,1.0,0.6662771724503292,2.7740117016413895e-9,2.681008769252204e-7,36,0.4127,40,0.2857
Spot42,sRNA,Vcr227,sRNA,401,36,2,1.0,1.0,0.004189914428979158,0.5355380969979082,0.7329675309391686,35,0.6289,38,0.134
Spot42,sRNA,VC0972,CDS_UTRS,399,18,2,1.0,1.0,0.007567661572385985,0.23890156308684338,0.48343643726368496,40,0.7031,34,0.0625
VC0492,CDS_UTRS,Spot42,sRNA,385,45,2,1.0,1.0,0.36593621887450967,1.2355495423664546e-23,5.09703203580132e-21,36,0.4368,35,0.3908
Spot42,sRNA,aphA,CDS_UTRS,385,28,2,1.0,1.0,0.008668334387479716,0.22403434966851635,0.46477868813368906,39,0.6475,42,0.1151
VC0658,CDS_UTRS,Spot42,sRNA,383,11,2,1.9061341188533899e-94,6.57263782127317e-92,5.174210039366582,2.712702981858818e-20,8.678545813105143e-18,38,0.8443,35,0.2131
VC1012,CDS_UTRS,Spot42,sRNA,382,37,2,1.0,1.0,0.5882509819688391,0.6498795973804956,0.8193532134295576,38,0.4035,35,0.2456
VC1649,CDS_UTRS,Spot42,sRNA,373,40,2,1.0,1.0,0.2404942268659126,3.1527269772898966e-14,5.869688674749629e-12,34,0.3983,40,0.322
VC0847,CDS_UTRS,Spot42,sRNA,369,19,2,1.0,1.0,0.5450380859378138,3.4667204296135154e-25,1.561638011457109e-22,31,0.3684,55,0.3392
VC0395,CDS_UTRS,Spot42,sRNA,364,33,2,1.0,1.0,0.06813661486920672,0.03578321409420307,0.15195167970081974,27,0.4609,51,0.2261
Spot42,sRNA,VC1902,CDS_UTRS,361,24,2,1.0676940893121944e-92,3.6344803402089103e-90,5.277524309665373,0.8024439999999999,0.8945324150073956,42,0.7865,35,0.3933
ruvA,CDS_UTRS,Spot42,sRNA,360,46,2,1.0,1.0,0.12682436774035655,7.094793508144084e-12,9.859474316574195e-10,44,0.4466,34,0.3592
VC2416,CDS_UTRS,Spot42,sRNA,360,32,2,1.0,1.0,0.5825257072079695,1.7659838865122286e-20,5.7916143518290796e-18,53,0.4318,40,0.25
VC0236,CDS_UTRS,Spot42,sRNA,358,23,2,0.9999999634098016,1.0,0.7406912131455169,8.95574192863488e-52,1.727312589373662e-48,35,0.3882,37,0.3176
yajC,CDS_UTRS,Spot42,sRNA,356,38,2,4.915446681657653e-15,3.502889934668731e-13,1.6717314899080016,0.24879071362499042,0.48343643726368496,45,0.6,33,0.1692
VC0911,CDS_UTRS,Spot42,sRNA,352,46,2,1.0,1.0,0.06559303699151596,5.174296141731733e-5,0.0018113734072580394,41,0.3299,34,0.3093
VCA0677,CDS_UTRS,Spot42,sRNA,352,55,2,0.8511310592099185,1.0,0.9414552158326943,1.122880776050662e-13,1.9091652517923417e-11,36,0.3667,44,0.1667
VC2699,CDS_UTRS,Spot42,sRNA,347,11,2,1.0,1.0,0.10240045667326804,6.50859669532737e-24,2.699208029505051e-21,33,0.5176,39,0.3059
lolA,CDS_UTRS,Spot42,sRNA,342,22,2,3.2586985919484444e-8,1.3059240183377457e-6,1.4263343648242175,6.505769925974923e-32,4.678245436402206e-29,30,0.2339,59,0.3629
VCA0560,CDS_UTRS,Spot42,sRNA,339,19,2,0.1926464070919944,0.42172490920718153,1.056799236367878,1.1949490878491939e-11,1.626064313449786e-9,36,0.3377,36,0.4805
Spot42,sRNA,VC2387,CDS_UTRS,338,49,2,1.0,1.0,0.29385009221358976,0.22908696999036982,0.47427537757039556,42,0.6126,31,0.3423
VC0258:VC0262,IGR,Spot42,sRNA,333,43,2,1.0,1.0,0.2775708192936661,5.514843162662097e-17,1.3722505458178343e-14,38,0.619,39,0.4898
VC0573,CDS_UTRS,Spot42,sRNA,332,13,2,0.9999999999997065,1.0,0.6647570545993283,1.516839970952384e-7,1.0957735830711413e-5,40,1.2097,37,0.1774
VCA0516,CDS_UTRS,Spot42,sRNA,328,22,2,1.0,1.0,0.17872367284985954,1.9728333324183292e-41,2.1779246398349446e-38,29,0.3441,53,0.3011
dnaA,CDS_UTRS,Spot42,sRNA,327,11,2,1.0,1.0,0.17033092341041176,0.0008568823762225878,0.014816522729032132,40,0.4719,36,0.1798
VC0966,CDS_UTRS,Spot42,sRNA,326,29,2,1.0,1.0,0.1922252864087354,3.2668502392157533e-6,0.0001690158340593861,38,0.3211,36,0.3394
VC0846,CDS_UTRS,Spot42,sRNA,325,7,2,1.2550623434833497e-20,1.1731066121649542e-18,1.9357422218913065,8.613906075614774e-15,1.709282461044966e-12,28,0.25,51,0.25
VC1130,CDS_UTRS,Spot42,sRNA,325,12,2,1.0,1.0,0.5701916577170917,6.242941821185012e-10,6.659367738983655e-8,37,0.4909,43,0.3364
oppA,CDS_UTRS,Spot42,sRNA,319,51,2,1.0,1.0,0.18224222253612826,1.149788928754886e-18,3.2186287865977403e-16,37,0.3889,37,0.3704
VC2030,CDS_UTRS,Spot42,sRNA,317,25,2,1.0,1.0,0.08821760271445026,7.097227289294628e-9,6.401470335583455e-7,40,0.5794,34,0.2243
VC1866,CDS_UTRS,Spot42,sRNA,314,28,2,1.0,1.0,0.040611170262752815,3.314882255346078e-16,7.779155271146136e-14,37,0.8482,41,0.1696
VC0821,CDS_UTRS,Spot42,sRNA,312,50,2,1.0,1.0,0.17027875037174656,8.125528590499505e-14,1.4121664222881189e-11,35,0.2892,39,0.2771
VC1392,CDS_UTRS,Spot42,sRNA,308,12,2,9.154996874320126e-23,9.364455013848596e-21,2.0654496084681577,7.584644524247477e-9,6.817569064851393e-7,39,0.547,41,0.2735
VC0348,CDS_UTRS,Spot42,sRNA,305,29,2,1.0,1.0,0.1877765825222957,0.7061210006531202,0.8433619320420598,39,0.5341,35,0.1477
Spot42,sRNA,VCA0987,CDS_UTRS,304,52,2,0.9992215655696128,1.0,0.8240403707127261,2.3924519428049038e-5,0.0009636319410533975,63,0.4659,30,0.1136
VC0249,CDS_UTRS,Spot42,sRNA,304,21,2,1.0,1.0,0.04443416433102389,0.007540524472081547,0.05813189583136417,39,0.5,39,0.373
deoA,CDS_UTRS,Spot42,sRNA,301,35,2,1.0,1.0,0.1598716878772391,3.0759917431189707e-20,9.721746323282583e-18,36,0.5604,37,0.2857
VCA0936,CDS_UTRS,Spot42,sRNA,300,13,2,0.9999999999999416,1.0,0.6442824036646908,1.2190219910450598e-13,2.0503897570837516e-11,35,0.402,39,0.3627
VC1215,CDS_UTRS,Spot42,sRNA,296,28,2,0.024501036388661534,0.1097823433184034,1.143642674900315,5.9693415904762385e-12,8.415161208689174e-10,33,0.419,53,0.4
Spot42,sRNA,Vcr064,sRNA,295,18,2,1.0,1.0,0.055843311687972526,0.9429267588742807,0.9691157492086745,35,0.5652,35,0.1522
VC1197,CDS_UTRS,Spot42,sRNA,295,21,2,0.0006302992535801469,0.008533452614673302,1.2498778697591773,1.2872388547363027e-6,7.490354021758437e-5,35,0.3333,41,0.3067
Vcr069:VC1803,IGR,Spot42,sRNA,294,8,2,1.0,1.0,0.4748971648877433,0.9130400672224526,0.9535083161418002,37,0.6118,38,0.2824
