name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
VC1337,CDS_UTRS,NC_002505,+,1420725,1421993,Spot42,sRNA,NC_002505,+,106076,106185,2810,0,true,0.0,0.0,1975.1651836329434,0.32058663761254624,0.8198400000000001,28,0.2676,28,0.2555
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr001,sRNA,NC_002505,+,21901,21941,2753,0,true,0.0,0.0,13.847990098175018,0.016833260160124458,0.1844740839465694,29,0.2779,29,0.2568
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,Vcr001,sRNA,NC_002505,+,21901,21941,2639,1,true,0.0,0.0,12.93403051049956,3.240160240513524e-6,8.361703846486513e-5,28,0.263,29,0.2584
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr001,sRNA,NC_002505,+,21901,21941,2445,0,true,1.0,1.0,0.3357618514733023,0.9318819003318665,1.0,29,0.2675,29,0.2605
VCA1097,CDS_UTRS,NC_002506,-,1052859,1053364,VqmR,sRNA,NC_002506,+,1031438,1031588,2386,0,true,0.0,0.0,359.99372362713757,1.8619182933726023e-8,7.447673173490409e-7,28,0.2578,28,0.2439
VC1461,CDS_UTRS,NC_002505,-,1570993,1571309,Vcr096,sRNA,NC_002506,-,243936,243986,2275,0,true,0.0,0.0,3914.2581593310424,1.1346089204192279e-13,6.982208741041402e-12,29,0.2673,28,0.2545
FarS,sRNA,NC_002505,-,2266017,2266134,Vcr001,sRNA,NC_002505,+,21901,21941,2085,0,true,1.0,1.0,0.1288245353146545,3.383822174183948e-5,0.0007316372268505833,28,0.2691,29,0.2705
VC1149,CDS_UTRS,NC_002505,-,1220318,1222019,Vcr001,sRNA,NC_002505,+,21901,21941,2035,1,true,0.0,0.0,25.876316952971184,0.44687760606434535,0.8614508068710272,29,0.2943,29,0.2673
VC1872,CDS_UTRS,NC_002505,+,2014835,2016961,FarS,sRNA,NC_002505,-,2266017,2266134,2018,0,true,0.0,0.0,48.740363220081555,3.798814091530932e-5,0.0007690242093949342,29,0.2522,28,0.2488
VC1898,CDS_UTRS,NC_002505,+,2044294,2046597,VSsrna24,sRNA,NC_002505,+,106481,106537,1839,0,true,0.0,0.0,8.994748937792663,0.9999999994234322,1.0,29,0.2703,29,0.2529
Vcr017,sRNA,NC_002505,-,350275,350367,VSsrna24,sRNA,NC_002505,+,106481,106537,1611,0,true,1.0,1.0,0.5232310993379673,0.999999999999718,1.0,28,0.2849,29,0.2713
rpoB,CDS_UTRS,NC_002505,+,340254,344451,Vcr017,sRNA,NC_002505,-,350275,350367,1599,0,true,0.0,0.0,138.75455035018604,0.9999999991019978,1.0,28,0.2758,29,0.2677
Vcr229,sRNA,NC_002506,+,897527,897726,Vcr228,sRNA,NC_002506,+,787266,787431,1498,0,true,0.0,0.0,45.65874257857348,5.304635608431733e-30,7.0728474779089785e-28,29,0.2583,29,0.2583
VC1043,CDS_UTRS,NC_002505,-,1111380,1112947,FarS,sRNA,NC_002505,-,2266017,2266134,1490,0,true,0.0,0.0,51.110307480062524,0.24093047384062002,0.7712000000000002,28,0.2651,28,0.243
VC2469,CDS_UTRS,NC_002505,+,2650006,2652058,Vcr017,sRNA,NC_002505,-,350275,350367,1455,0,true,0.0,0.0,99.89458274811055,1.0,1.0,28,0.2605,28,0.2296
QrrX,sRNA,NC_002506,-,776823,776968,Qrr3,sRNA,NC_002506,+,772258,772365,1383,2,true,0.0,0.0,139.8265507464206,2.3658116475328143e-79,3.785298636052503e-77,29,0.261,29,0.2495
VC0305,CDS_UTRS,NC_002505,-,316344,317860,VqmR,sRNA,NC_002506,+,1031438,1031588,1270,0,true,0.0,0.0,284.995272794476,0.9963305493446629,1.0,28,0.2756,28,0.2598
VC0567,CDS_UTRS,NC_002505,-,601073,601774,Vcr001,sRNA,NC_002505,+,21901,21941,1190,0,true,0.0,0.0,25.719522665907817,0.000557508103982403,0.009102173126243316,29,0.2563,29,0.2454
VC0671,CDS_UTRS,NC_002505,+,716880,717661,Vcr017,sRNA,NC_002505,-,350275,350367,1158,0,true,0.0,0.0,134.72148673485702,0.9976226908083043,1.0,29,0.2556,28,0.2383
FarS,sRNA,NC_002505,-,2266017,2266134,VC1872,CDS_UTRS,NC_002505,+,2014835,2016961,1153,0,true,0.0,0.0,10.262108832477164,0.0003676061345764257,0.006535220170247568,28,0.2585,28,0.2446
VC0348,CDS_UTRS,NC_002505,+,370445,371757,Vcr001,sRNA,NC_002505,+,21901,21941,1135,1,true,0.0,0.0,22.723110396624215,2.7243839029661897e-6,7.265023741243173e-5,28,0.2581,29,0.2361
Vcr017,sRNA,NC_002505,-,350275,350367,Vcr001,sRNA,NC_002505,+,21901,21941,1121,0,true,1.0,1.0,0.5892485409047232,0.9988105862925372,1.0,29,0.3265,29,0.2489
rplQ,CDS_UTRS,NC_002505,-,2750912,2751498,FarS,sRNA,NC_002505,-,2266017,2266134,1064,0,true,0.0,0.0,49.33107115560174,0.13282571399990092,0.6473965714285715,29,0.2547,29,0.2462
VC1760,CDS_UTRS,NC_002505,-,1897970,1901459,Vcr001,sRNA,NC_002505,+,21901,21941,1055,0,true,0.0,0.0,22.512688134346877,0.05082763201444599,0.37304684047299813,28,0.3024,29,0.2578
MicX,sRNA,NC_002506,-,893273,893616,OppZ,sRNA,NC_002505,+,1164273,1164325,1045,0,true,1.0,1.0,0.2584978041873568,6.656456992159649e-11,3.803689709805514e-9,28,0.2622,29,0.245
VcdRP,sRNA,NC_002505,-,2433387,2433692,Vcr034,sRNA,NC_002505,-,756018,756164,994,0,true,0.0,0.0,2562.180196821173,0.9999999512369216,1.0,28,0.2716,29,0.2465
FarS,sRNA,NC_002505,-,2266017,2266134,VCA1072,CDS_UTRS,NC_002506,-,1022807,1023541,973,1,true,0.0,0.0,26.04553492599004,0.20327804442114208,0.7149047210300428,28,0.2734,28,0.2312
VC0583,CDS_UTRS,NC_002505,-,612366,613376,Qrr3,sRNA,NC_002506,+,772258,772365,934,0,true,0.0,0.0,152.6190090045941,0.015097853883087663,0.1750475812531903,29,0.2452,29,0.2366
Vcr036,sRNA,NC_002505,-,840378,840471,VrrA,sRNA,NC_002505,+,1878684,1878823,878,0,true,0.0,0.0,87.11987856920413,8.134621243201413e-30,9.296709992230187e-28,28,0.2688,29,0.2426
atpC,CDS_UTRS,NC_002505,-,2949562,2950107,Vcr017,sRNA,NC_002505,-,350275,350367,877,1,true,0.0,0.0,126.7282554782439,0.734103147464523,0.9817764510779435,29,0.2668,28,0.2634
Vcr017,sRNA,NC_002505,-,350275,350367,FarS,sRNA,NC_002505,-,2266017,2266134,873,0,true,0.9957728894281778,1.0,0.9120801017193335,0.9913712078108801,1.0,28,0.2543,29,0.2451
VC2367,CDS_UTRS,NC_002505,-,2523852,2524435,Vcr001,sRNA,NC_002505,+,21901,21941,831,0,true,0.0,0.0,24.1641624816498,0.011438510357852082,0.14298137947315104,29,0.2816,29,0.2527
MicX,sRNA,NC_002506,-,893273,893616,FarS,sRNA,NC_002505,-,2266017,2266134,822,0,true,1.0,1.0,0.5926731424044025,0.1230498617661337,0.6392200611227724,28,0.2494,29,0.2543
VC2271,CDS_UTRS,NC_002505,-,2425321,2426424,Vcr017,sRNA,NC_002505,-,350275,350367,816,0,true,0.0,0.0,111.67297775314296,0.9998125987461463,1.0,28,0.2684,28,0.2402
VCA0919,CDS_UTRS,NC_002506,+,871122,871725,Vcr017,sRNA,NC_002505,-,350275,350367,815,0,true,0.0,0.0,82.45271531649459,0.688330161712557,0.9667101200686107,28,0.2564,28,0.2589
VC1558,CDS_UTRS,NC_002505,-,1669192,1670828,VSsrna24,sRNA,NC_002505,+,106481,106537,814,0,true,0.0,0.0,20.786256165107204,0.09105745859440009,0.5663880597014926,29,0.2813,29,0.2494
VC2348,CDS_UTRS,NC_002505,-,2504358,2505619,Vcr017,sRNA,NC_002505,-,350275,350367,808,0,true,0.0,0.0,114.66510422881,0.9999999972702499,1.0,28,0.25,28,0.25
sucA,CDS_UTRS,NC_002505,-,2246650,2249504,Vcr001,sRNA,NC_002505,+,21901,21941,791,0,true,2.8308674476766005e-201,2.5433226439362213e-200,4.70615854287277,0.033995585747665126,0.31623800695502446,28,0.2238,29,0.2339
Vcr017,sRNA,NC_002505,-,350275,350367,GcvB,sRNA,NC_002505,-,954718,954922,742,0,true,0.0,0.0,22.413912683999122,0.9998535620392218,1.0,28,0.2601,29,0.2399
VC2095,CDS_UTRS,NC_002505,-,2255954,2257854,Vcr017,sRNA,NC_002505,-,350275,350367,736,0,true,0.0,0.0,134.16044155365915,0.9999999981446788,1.0,29,0.2554,28,0.2595
FarS,sRNA,NC_002505,-,2266017,2266134,VC1043,CDS_UTRS,NC_002505,-,1111380,1112947,719,0,true,3.836718238527717e-272,3.908656705500112e-271,9.166564800840575,0.13540201398591414,0.6473965714285715,28,0.2448,28,0.2503
VCA0545,CDS_UTRS,NC_002506,+,481778,483920,VSsrna24,sRNA,NC_002505,+,106481,106537,710,0,true,3.795768534899924e-151,3.028651677147422e-150,4.514478854397689,7.439793510149196e-6,0.00018035863054907144,28,0.2662,28,0.2479
VC0244,CDS_UTRS,NC_002505,+,250455,251558,VqmR,sRNA,NC_002506,+,1031438,1031588,710,0,true,0.0,0.0,226.2693377801673,0.2258549719330496,0.7656100743493206,29,0.2465,28,0.2437
MicX,sRNA,NC_002506,-,893273,893616,Vcr001,sRNA,NC_002505,+,21901,21941,692,0,true,1.0,1.0,0.24191199597176463,0.998685074752215,1.0,28,0.263,29,0.263
FarS,sRNA,NC_002505,-,2266017,2266134,rplQ,CDS_UTRS,NC_002505,-,2750912,2751498,669,0,true,5.026612353269889e-284,5.261802472551324e-283,11.667226954782192,0.19623635325172017,0.7149047210300428,28,0.2855,29,0.2511
VC2467,CDS_UTRS,NC_002505,-,2649174,2649946,Vcr001,sRNA,NC_002505,+,21901,21941,664,0,true,0.0,0.0,23.590995610791033,0.048580206281435445,0.37304684047299813,28,0.241,30,0.2425
Vcr229,sRNA,NC_002506,+,897527,897726,CarZ,sRNA,NC_002505,-,2553978,2554044,662,0,true,0.0,0.0,40.06627565074087,1.0949069840325182e-13,6.982208741041402e-12,28,0.2553,29,0.2523
VSsrna24,sRNA,NC_002505,+,106481,106537,VqmR,sRNA,NC_002506,+,1031438,1031588,661,0,true,1.0,1.0,0.6716872232815096,1.0,1.0,29,0.2451,29,0.2648
VC1492,CDS_UTRS,NC_002505,-,1597545,1602516,Vcr001,sRNA,NC_002505,+,21901,21941,658,0,true,0.0,0.0,23.94259109488307,0.01064828891873922,0.13739727637082866,29,0.2766,29,0.2477
VC0243,CDS_UTRS,NC_002505,+,249323,250444,Vcr001,sRNA,NC_002505,+,21901,21941,642,0,true,2.646448027402562e-125,1.9997332445472342e-124,3.63394927863101,0.38371711790872043,0.8551921951219511,28,0.2788,29,0.2523
fliD,CDS_UTRS,NC_002505,-,2293738,2295738,Vcr001,sRNA,NC_002505,+,21901,21941,637,0,true,0.0,0.0,26.00942849145572,9.292750441786205e-11,4.956133568952643e-9,28,0.2512,29,0.2496
VC0731,CDS_UTRS,NC_002505,-,786499,787489,Vcr043,sRNA,NC_002505,+,1114590,1114749,630,0,true,0.0,0.0,786.240598361418,0.4847366392014579,0.8782525842696628,28,0.273,28,0.227
VC0533,CDS_UTRS,NC_002505,+,563723,564695,Vcr043,sRNA,NC_002505,+,1114590,1114749,623,0,true,0.0,0.0,63.970327801779455,0.5587597047488653,0.927018266472212,29,0.2761,28,0.2665
VC0553,CDS_UTRS,NC_002505,+,586646,587107,Vcr017,sRNA,NC_002505,-,350275,350367,622,0,true,0.0,0.0,130.36907828433434,0.9788485995210008,1.0,29,0.3039,28,0.2765
Vcr017,sRNA,NC_002505,-,350275,350367,VC0247,CDS_UTRS,NC_002505,+,253651,254466,615,0,true,0.0,0.0,150.45916375416618,0.9999999994850653,1.0,29,0.2927,28,0.265
MicX,sRNA,NC_002506,-,893273,893616,VCA0689,CDS_UTRS,NC_002506,-,627699,628074,596,0,true,0.0,0.0,32.49553966952452,0.17249256634703986,0.6982356937704407,28,0.2466,28,0.2282
Vcr222,sRNA,NC_002505,-,2783840,2783908,Vcr001,sRNA,NC_002505,+,21901,21941,595,0,true,1.0,1.0,0.03192514509396954,0.9267460008557531,1.0,29,0.3429,29,0.2538
aphA,CDS_UTRS,NC_002505,+,2821322,2822240,VSsrna24,sRNA,NC_002505,+,106481,106537,591,0,true,1.7660408235365438e-57,1.267328666449809e-56,2.4374052560731725,0.9995305985550906,1.0,28,0.2504,28,0.2538
VSsrna24,sRNA,NC_002505,+,106481,106537,OppZ,sRNA,NC_002505,+,1164273,1164325,590,0,true,1.0,1.0,0.051335481597766436,2.702444476888616e-8,1.02950265786233e-6,29,0.2492,28,0.2542
MicX,sRNA,NC_002506,-,893273,893616,Vcr214,sRNA,NC_002505,+,2376028,2376142,590,1,true,1.4641996544192901e-242,1.4402170738727673e-241,6.533019409162792,0.022210093937690172,0.22491234367281188,28,0.2203,28,0.2
VC0298,CDS_UTRS,NC_002505,-,304932,307171,Vcr001,sRNA,NC_002505,+,21901,21941,589,0,true,0.0,0.0,36.423927876736855,0.17215750874206848,0.6982356937704407,28,0.2615,29,0.2547
VCA0156,CDS_UTRS,NC_002506,-,172609,172962,Vcr017,sRNA,NC_002505,-,350275,350367,583,0,true,0.0,0.0,113.18212024842587,0.013114754090750733,0.15433972230264079,29,0.259,28,0.2847
FarS,sRNA,NC_002505,-,2266017,2266134,VrrA,sRNA,NC_002505,+,1878684,1878823,581,0,true,1.0,1.0,0.31149751837905093,0.46027373935495275,0.8782525842696628,29,0.2582,28,0.2427
VC0604,CDS_UTRS,NC_002505,+,633758,636564,Vcr001,sRNA,NC_002505,+,21901,21941,573,0,true,0.0,0.0,23.21522637622771,0.011031770094985504,0.14008596946013338,28,0.2496,29,0.2757
VC0137,CDS_UTRS,NC_002505,+,131385,132811,VSsrna24,sRNA,NC_002505,+,106481,106537,572,0,true,1.3556596288850395e-237,1.3108539292862966e-236,14.163533567783364,0.8418362496241425,1.0,29,0.2535,29,0.2308
Vcr229,sRNA,NC_002506,+,897527,897726,VqmR,sRNA,NC_002506,+,1031438,1031588,565,0,true,0.13811377260732755,0.1754875440367046,1.0499309993531132,0.0053662449231777695,0.07401717135417613,28,0.2496,28,0.2177
VC0655,CDS_UTRS,NC_002505,+,700105,700711,Vcr017,sRNA,NC_002505,-,350275,350367,547,0,true,0.0,0.0,113.01912067025214,3.990146857658006e-5,0.0007785652405186353,29,0.2815,29,0.2523
VC2677,CDS_UTRS,NC_002505,-,2843953,2845198,Vcr001,sRNA,NC_002505,+,21901,21941,543,0,true,0.0,0.0,25.22962803837319,0.7766368043279759,0.9988897804861426,29,0.2486,29,0.2413
VqmR,sRNA,NC_002506,+,1031438,1031588,Vcr001,sRNA,NC_002505,+,21901,21941,536,0,true,5.798287258254196e-6,2.876454678986103e-5,1.239690300044134,0.9980227675556658,1.0,28,0.2873,29,0.25
CsrB,sRNA,NC_002505,-,196519,196932,VrrA,sRNA,NC_002505,+,1878684,1878823,536,0,true,0.0,0.0,433.1589279060918,5.167657448747273e-8,1.7974460691294862e-6,29,0.2631,28,0.2705
OppZ,sRNA,NC_002505,+,1164273,1164325,Vcr222,sRNA,NC_002505,-,2783840,2783908,530,0,true,1.6314766170225728e-13,1.0284612265319092e-12,1.4142339324147133,9.698537736012705e-85,1.939707547202541e-82,28,0.2906,28,0.2491
FarS,sRNA,NC_002505,-,2266017,2266134,VqmR,sRNA,NC_002506,+,1031438,1031588,528,0,true,1.0,1.0,0.24941167967858466,0.9930120483105632,1.0,28,0.2424,28,0.233
VC1442,CDS_UTRS,NC_002505,-,1538127,1539760,Vcr017,sRNA,NC_002505,-,350275,350367,526,0,true,1.7357692565586395e-277,1.8004661106667343e-276,9.86030482130479,0.9999999999820491,1.0,28,0.2643,28,0.2738
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,FarS,sRNA,NC_002505,-,2266017,2266134,522,0,true,2.1098303950390625e-34,1.4589796852967092e-33,1.8626325150094403,0.5813606065785109,0.927018266472212,28,0.2375,28,0.2548
VC0112,CDS_UTRS,NC_002505,+,107209,108166,Vcr001,sRNA,NC_002505,+,21901,21941,503,0,true,5.596195224427355e-296,6.0811988105443935e-295,23.356733723940664,0.007685917038965071,0.10247889385286763,28,0.2942,29,0.2485
VC0533,CDS_UTRS,NC_002505,+,563723,564695,Qrr3,sRNA,NC_002506,+,772258,772365,499,0,true,0.0,0.0,37.74176334244917,0.03815356328611649,0.332916666666667,28,0.2385,29,0.2625
gltD_2,CDS_UTRS,NC_002505,+,2542134,2543642,Vcr001,sRNA,NC_002505,+,21901,21941,497,0,true,1.1448802474346776e-289,1.2095447799286733e-288,22.551371600092065,0.0004938196345346689,0.008230327242244482,29,0.2334,29,0.2515
VC2669,CDS_UTRS,NC_002505,-,2836660,2837210,Vcr017,sRNA,NC_002505,-,350275,350367,492,0,true,0.0,0.0,115.35958325693102,0.06887951538432051,0.4591967692288034,29,0.2683,28,0.252
VCA0892,CDS_UTRS,NC_002506,-,844999,845505,Vcr043,sRNA,NC_002505,+,1114590,1114749,485,0,true,0.0,0.0,890.1690675597299,0.6440315907936471,0.9618877952591853,28,0.2557,29,0.2598
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr220,sRNA,NC_002505,+,2653872,2654007,482,0,true,0.0,0.0,776.8579105062364,0.37166861368848053,0.8551921951219511,29,0.2552,28,0.2469
Vcr017,sRNA,NC_002505,-,350275,350367,VCA0278,CDS_UTRS,NC_002506,-,296306,297813,479,0,true,0.0,0.0,230.23110078975782,0.9951416194036028,1.0,28,0.2756,28,0.2484
CsrD,sRNA,NC_002506,-,783782,784129,VSsrna24,sRNA,NC_002505,+,106481,106537,478,1,true,1.570153336727733e-204,1.4332359657650747e-203,15.373750382160667,4.291714398244007e-22,4.2917143982440066e-20,28,0.2636,29,0.2552
VC0249,CDS_UTRS,NC_002505,+,254753,256168,VqmR,sRNA,NC_002506,+,1031438,1031588,475,0,true,0.0,0.0,250.07787356922285,0.7229138708472426,0.9817764510779435,29,0.2926,28,0.2463
VC1442,CDS_UTRS,NC_002505,-,1538127,1539760,Vcr001,sRNA,NC_002505,+,21901,21941,473,0,true,2.2050062236284953e-61,1.6024917841784162e-60,2.6831178273075302,0.9322970371873643,1.0,28,0.2643,29,0.2685
pyrH,CDS_UTRS,NC_002505,-,2413472,2414323,Vcr017,sRNA,NC_002505,-,350275,350367,469,0,true,0.0,0.0,125.55375335283985,0.18568373388018483,0.7149047210300428,29,0.2665,28,0.2409
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr017,sRNA,NC_002505,-,350275,350367,468,0,true,1.0,1.0,0.1870461278922603,0.9999992828564971,1.0,29,0.2372,28,0.2479
VSsrna24,sRNA,NC_002505,+,106481,106537,VadR,sRNA,NC_002506,+,3202,3285,468,0,true,1.0,1.0,0.3800819166150181,0.9999999998792614,1.0,29,0.2372,28,0.1987
MicX,sRNA,NC_002506,-,893273,893616,VSsrna24,sRNA,NC_002505,+,106481,106537,467,0,true,1.0,1.0,0.09435688189910385,0.5638361131455556,0.927018266472212,28,0.2634,29,0.2848
VC0247,CDS_UTRS,NC_002505,+,253651,254466,Vcr017,sRNA,NC_002505,-,350275,350367,464,0,true,0.0,0.0,56.07431198993069,0.999999709088156,1.0,28,0.2522,28,0.2565
VC0079,CDS_UTRS,NC_002505,+,77366,77792,Vcr017,sRNA,NC_002505,-,350275,350367,453,0,true,0.0,0.0,126.61348713990638,0.5289181309814028,0.9067176303544423,28,0.2208,29,0.2384
VC0243,CDS_UTRS,NC_002505,+,249323,250444,Vcr017,sRNA,NC_002505,-,350275,350367,450,0,true,6.727222982025601e-185,5.859359864497107e-184,6.7223903508180864,0.4166728689588738,0.8551921951219511,28,0.2533,29,0.2756
Vcr083,sRNA,NC_002505,+,2472404,2472599,Spot42,sRNA,NC_002505,+,106076,106185,449,1,true,0.0,0.0,748.1400556568265,0.9925230251499825,1.0,29,0.2717,28,0.2472
CarZ,sRNA,NC_002505,-,2553978,2554044,Vcr001,sRNA,NC_002505,+,21901,21941,448,0,true,4.676998139119633e-103,3.4878790044022883e-102,4.197202708697264,0.0001197500247928611,0.002227907438006718,29,0.3504,29,0.2746
VC0403,CDS_UTRS,NC_002505,+,429391,430236,Vcr001,sRNA,NC_002505,+,21901,21941,448,0,true,4.927067062328284e-272,4.975029662050064e-271,26.289042305810025,3.842949614184517e-5,0.0007690242093949342,28,0.2388,29,0.2321
grxA,CDS_UTRS,NC_002505,-,1217146,1217709,OppZ,sRNA,NC_002505,+,1164273,1164325,438,0,true,7.978883616648538e-217,7.523889426938828e-216,20.1438317416805,0.6722632675732753,0.9655486787407903,29,0.2808,29,0.2648
dnaA,CDS_UTRS,NC_002505,+,7197,8844,Vcr214,sRNA,NC_002505,+,2376028,2376142,438,0,true,0.0,0.0,1044.6792321876565,0.992773672884411,1.0,29,0.2854,29,0.2991
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr043,sRNA,NC_002505,+,1114590,1114749,435,0,true,1.6979514632168526e-6,9.010988928048507e-6,1.279767174746447,0.99999998989699,1.0,29,0.246,29,0.2138
FarS,sRNA,NC_002505,-,2266017,2266134,Vcr017,sRNA,NC_002505,-,350275,350367,434,0,true,1.0,1.0,0.08164788068641363,0.9517967233007653,1.0,29,0.2627,28,0.265
VCA0172,CDS_UTRS,NC_002506,-,189226,190182,Vcr214,sRNA,NC_002505,+,2376028,2376142,432,0,true,0.0,0.0,1056.096861442782,0.9717266818067949,1.0,29,0.2477,28,0.2361
Vcr067,sRNA,NC_002505,+,1801887,1802121,Vcr214,sRNA,NC_002505,+,2376028,2376142,425,3,true,0.0,0.0,933.7805064584596,1.4745076781284945e-5,0.0003370303264293702,29,0.2635,28,0.2165
Vcr229,sRNA,NC_002506,+,897527,897726,Vcr017,sRNA,NC_002505,-,350275,350367,420,0,true,1.0,1.0,0.30949666891354977,1.944423129178158e-7,5.982840397471256e-6,28,0.2762,29,0.2786
FarS,sRNA,NC_002505,-,2266017,2266134,Vcr043,sRNA,NC_002505,+,1114590,1114749,417,0,true,1.0,1.0,0.5785764587596753,0.9999999999972882,1.0,28,0.2758,29,0.2374
Vcr017,sRNA,NC_002505,-,350275,350367,VrrA,sRNA,NC_002505,+,1878684,1878823,409,0,true,2.418375122877561e-23,1.6231564795313515e-22,1.73318720128015,1.0,1.0,28,0.2641,28,0.2689
VC1620,CDS_UTRS,NC_002505,-,1732696,1741567,Vcr017,sRNA,NC_002505,-,350275,350367,402,40,true,0.0,0.0,121.15378469754624,0.9999750334109275,1.0,130,0.301,28,0.2836
VC1354:VC1350,IGR,NC_002505,-,1441390,1444611,Vcr001,sRNA,NC_002505,+,21901,21941,402,0,true,6.275985594486728e-244,6.226869185486397e-243,26.136035923573402,0.5406303870988363,0.9067176303544423,29,0.2537,29,0.2065
VC2217,CDS_UTRS,NC_002505,-,2371285,2374336,Vcr017,sRNA,NC_002505,-,350275,350367,400,0,true,0.0,0.0,111.5437943719163,0.9521045725645209,1.0,28,0.265,28,0.2575
VC0036,CDS_UTRS,NC_002505,-,34311,35935,Vcr001,sRNA,NC_002505,+,21901,21941,396,0,true,4.64946481781738e-242,4.5342216727603685e-241,26.914012836937403,0.04631150473534037,0.37304684047299813,29,0.25,29,0.2576
FarS,sRNA,NC_002505,-,2266017,2266134,VadR,sRNA,NC_002506,+,3202,3285,394,0,true,1.0,1.0,0.15026705356088435,0.9851370410499983,1.0,29,0.2589,28,0.2614
VC2529,CDS_UTRS,NC_002505,+,2711883,2713373,Vcr001,sRNA,NC_002505,+,21901,21941,393,0,true,1.4552988732508622e-234,1.395374801999356e-233,24.482652959086362,0.05000825717543849,0.37304684047299813,29,0.2646,30,0.2952
recR,CDS_UTRS,NC_002505,+,1125183,1125985,OppZ,sRNA,NC_002505,+,1164273,1164325,388,0,true,1.0518610388229262e-205,9.678818107233538e-205,26.31487810201629,2.25409054045973e-10,1.0018180179821022e-8,29,0.2603,29,0.2191
VSsrna24,sRNA,NC_002505,+,106481,106537,VrrA,sRNA,NC_002505,+,1878684,1878823,386,0,true,1.0,1.0,0.42556965772019184,0.9999897692913611,1.0,29,0.2228,28,0.2306
VC2059,CDS_UTRS,NC_002505,-,2214137,2214661,VSsrna24,sRNA,NC_002505,+,106481,106537,382,0,true,1.2564221128100536e-65,9.248887940104975e-65,3.6074401691303057,0.012296022692832585,0.14904269930706163,29,0.2644,29,0.2749
Vcr228,sRNA,NC_002506,+,787266,787431,Vcr229,sRNA,NC_002506,+,897527,897726,381,0,true,0.0,0.0,37.167918313220774,7.201247209889502e-8,2.3043991071646405e-6,29,0.273,28,0.315
